country,continent,population
Saint-Helena,Africa,6115
Falkland-Islands,South-America,3539
Montserrat,North-America,4965
Diamond-Princess,,
Vatican-City,Europe,799
Western-Sahara,Africa,626161
MS-Zaandam,,
China,Asia,1448471400
Tokelau,Oceania,1378
Saint-Pierre-Miquelon,North-America,5759
Tuvalu,Oceania,12066
Niue,Oceania,1622
Nicaragua,North-America,6779100
Tajikistan,Asia,9957464
Djibouti,Africa,1016097
Greenland,North-America,56973
Eritrea,Africa,3662244
Niger,Africa,26083660
Equatorial-Guinea,Africa,1496662
Liberia,Africa,5305117
Nauru,Oceania,10903
Caribbean-Netherlands,North-America,26647
Bermuda,North-America,61939
Gambia,Africa,2558482
Grenada,North-America,113475
Comoros,Africa,907419
Guinea-Bissau,Africa,2063367
Chad,Africa,17413580
Vanuatu,Oceania,321832
Sint-Maarten,North-America,43966
Wallis-and-Futuna,Oceania,10982
St-Barth,North-America,9945
Saint-Kitts-and-Nevis,North-America,53871
Timor-Leste,Asia,1369429
Kiribati,Oceania,123419
Burkina-Faso,Africa,22102838
Liechtenstein,Europe,38387
Gibraltar,Europe,33704
South-Sudan,Africa,11618511
Monaco,Europe,39783
Samoa,Oceania,202239
Tonga,Oceania,107749
Marshall-Islands,Oceania,60057
Dominica,North-America,72344
CAR,Africa,5016678
Saint-Martin,North-America,39730
Yemen,Asia,31154867
St-Vincent-Grenadines,North-America,111551
Antigua-and-Barbuda,North-America,99509
Sierra-Leone,Africa,8306436
British-Virgin-Islands,North-America,30596
Cook-Islands,Oceania,17571
Sao-Tome-and-Principe,Africa,227679
Turks-and-Caicos,North-America,39741
Palau,Oceania,18233
Anguilla,North-America,15230
Cura&ccedil;ao,North-America,165529
Isle-of-Man,Europe,85732
Cayman-Islands,North-America,67277
Congo,Africa,5797805
Somalia,Africa,16841795
Mayotte,Africa,286259
Bahamas,North-America,400516
Aruba,North-America,107609
Madagascar,Africa,29178077
Cabo-Verde,Africa,567678
Sudan,Africa,45992020
Mauritania,Africa,4901981
Bhutan,Asia,787941
Syria,Asia,19364809
Burundi,Africa,12624840
Seychelles,Africa,99426
Gabon,Africa,2331533
Andorra,Europe,77463
Papua-New-Guinea,Oceania,9292169
Tanzania,Africa,63298550
Mauritius,Africa,1274727
Togo,Africa,8680837
Guinea,Africa,13865691
Lesotho,Africa,2175699
Haiti,North-America,11680283
Faeroe-Islands,Europe,49233
Mali,Africa,21473764
Saint-Lucia,North-America,185113
Benin,Africa,12784726
Macao,Asia,667490
Micronesia,Oceania,117489
San-Marino,Europe,34085
Solomon-Islands,Oceania,721159
French-Guiana,South-America,314169
Channel-Islands,Europe,176463
Kyrgyzstan,Asia,6728271
Fiji,Oceania,909466
Suriname,South-America,596831
Guadeloupe,North-America,399794
El-Salvador,North-America,6550389
Trinidad-and-Tobago,North-America,1406585
Maldives,Asia,540985
Namibia,Africa,2633874
Uganda,Africa,48432863
Ghana,Africa,32395450
Jamaica,North-America,2985094
Cambodia,Asia,17168639
Rwanda,Africa,13600464
Cameroon,Africa,27911548
Malta,Europe,444033
Barbados,North-America,288023
Angola,Africa,35027343
DRC,Africa,95240792
Malawi,Africa,20180839
Senegal,Africa,17653671
Ivory-Coast,Africa,27742298
New-Caledonia,Oceania,290915
French-Polynesia,Oceania,284164
Eswatini,Africa,1184817
Guyana,South-America,794045
Belize,North-America,412190
Belarus,Europe,9432800
Venezuela,South-America,29266991
Egypt,Africa,106156692
Uzbekistan,Asia,34382084
Qatar,Asia,2979915
Ecuador,South-America,18113361
UAE,Asia,10081785
Panama,North-America,4446964
Uruguay,South-America,3496016
Mongolia,Asia,3378078
Nepal,Asia,30225582
Latvia,Europe,1848837
Saudi-Arabia,Asia,35844909
Paraguay,South-America,7305843
Azerbaijan,Asia,10300205
Bahrain,Asia,1783983
Cyprus,Asia,1223387
Dominican-Republic,North-America,11056370
Sri-Lanka,Asia,21575842
Kuwait,Asia,4380326
Myanmar,Asia,55227143
Moldova,Europe,4013171
Estonia,Europe,1321910
Palestine,Asia,5345541
Libya,Africa,7040745
Ethiopia,Africa,120812698
R&eacute;union,Africa,908061
Honduras,North-America,10221247
Armenia,Asia,2971966
Bosnia-and-Herzegovina,Europe,3249317
Oman,Asia,5323993
Luxembourg,Europe,642371
North-Macedonia,Europe,2081304
Zambia,Africa,19470234
Kenya,Africa,56215221
Brunei,Asia,445431
Albania,Europe,2866374
Botswana,Africa,2441162
Montenegro,Europe,627950
Algeria,Africa,45350148
Nigeria,Africa,216746934
Zimbabwe,Africa,15331428
Afghanistan,Asia,40754388
Mozambique,Africa,33089461
Martinique,North-America,374087
Laos,Asia,7481023
Iceland,Europe,345393
DPRK,Asia,25990679
Jordan,Asia,10300869
South-Africa,Africa,60756135
Kazakhstan,Asia,19205043
Ukraine,Europe,43192122
Poland,Europe,37739785
Colombia,South-America,51512762
Greece,Europe,10316637
Austria,Europe,9066710
Portugal,Europe,10140570
Chile,South-America,19250195
Malaysia,Asia,33181072
Canada,North-America,38388419
Belgium,Europe,11668278
Israel,Asia,9326000
Thailand,Asia,70078203
Czechia,Europe,10736784
Peru,South-America,33684208
Switzerland,Europe,8773637
Philippines,Asia,112508994
Romania,Europe,19031335
Denmark,Europe,5834950
Singapore,Asia,5943546
Hong-Kong,Asia,7604299
Sweden,Europe,10218971
New-Zealand,Oceania,4898203
Serbia,Europe,8653016
Iraq,Asia,42164965
Hungary,Europe,9606259
Bangladesh,Asia,167885689
Slovakia,Europe,5460193
Georgia,Asia,3968738
Ireland,Europe,5020199
Pakistan,Asia,229488994
Finland,Europe,5554960
Norway,Europe,5511370
Lithuania,Europe,2661708
Slovenia,Europe,2078034
Bulgaria,Europe,6844597
Croatia,Europe,4059286
Guatemala,North-America,18584039
Morocco,Africa,37772756
Lebanon,Asia,6684849
Costa-Rica,North-America,5182354
Bolivia,South-America,11992656
Tunisia,Africa,12046656
Cuba,North-America,11305652
Spain,Europe,46719142
North-America,North-America,
Asia,Asia,
Europe,Europe,
South-America,South-America,
Oceania,Oceania,
Africa,Africa,
All,All,
USA,North-America,334805269
India,Asia,1406631776
France,Europe,65584518
Germany,Europe,83883596
Brazil,South-America,215353593
S-Korea,Asia,51329899
Japan,Asia,125584838
Italy,Europe,60262770
UK,Europe,68497907
Russia,Europe,145805947
Turkey,Asia,85561976
Australia,Oceania,26068792
Vietnam,Asia,98953541
Taiwan,Asia,23888595
Argentina,South-America,46010234
Netherlands,Europe,17211447
Mexico,North-America,131562772
Iran,Asia,86022837
Indonesia,Asia,279134505
